Grid	Japanese(Kanji)	Japanese(Kana)	Romanized Japanese	Latitude	Longitude	Classification
5134	藍住町	あいずみちょう	Aizumi Cho	34°08'	134°30'	Municipality
5639	会津美里町	あいづみさとまち	Aizumisato Machi	37°28'	139°50'	Municipality
5639	会津若松市	あいづわかまつし	Aizuwakamatsu Shi	37°30'	139°56'	Municipality
5741	網地島	あじしま	Aji Shima	38°16'	141°29'	Island
6140	鰺ヶ沢町	あじがさわまち	Ajigasawa Machi	40°47'	140°13'	Municipality
5239	網代	あじろ	Ajiro	35°03'	139°05'	Populated area
3927	阿嘉島	あかじま	Aka Jima	26°12'	127°17'	Island
	阿嘉海山	あかかいざん	Aka Kaizan	22°20'	125°36'	Undersea feature
5030	赤村	あかむら	Aka Mura	33°37'	130°52'	Municipality
6542	赤平市	あかびらし	Akabira Shi	43°33'	142°03'	Municipality
5338	赤岳	あかだけ	Akadake	35°58'	138°22'	Mountain
5638	赤泊	あかどまり	Akadomari	37°52'	138°24'	Populated area
5839	赤川	あかがわ	Akagawa	38°51'	139°47'	River
5439	赤城山	あかぎさん	Akagi San	36°33'	139°10'	Mountain
6440	赤井川村	あかいがわむら	Akaigawa Mura	43°05'	140°49'	Municipality
5338	赤石岳	あかいしだけ	Akaishi Dake	35°28'	138°09'	Mountain
6140	赤石川	あかいしがわ	Akaishi Gawa	40°46'	140°09'	River
5338	赤石山脈	あかいしさんみゃく	Akaishi Sanmyaku	35°28'	138°13'	Extensive natural feature
5234	赤磐市	あかいわし	Akaiwa Shi	34°45'	134°01'	Municipality
6544	阿寒富士	あかんふじ	Akan Fuji	43°22'	144°00'	Mountain
6444	阿寒川	あかんがわ	Akan Gawa	43°00'	144°16'	River
6544	阿寒湖	あかんこ	Akan Ko	43°27'	144°06'	Lake
5135	明石海峡	あかしかいきょう	Akashi Kaikyo	34°37'	135°01'	Sea Area
5135	明石市	あかしし	Akashi Shi	34°39'	135°00'	Municipality
4928	赤島	あかしま	Akashima	33°11'	128°59'	Island
4828	赤島	あかしま	Akashima	32°36'	128°55'	Island
4932	明浜	あけはま	Akehama	33°19'	132°26'	Populated area
	明の明星海山	あけのみょうじょうかいざん	Ake-No-Myojo Kaizan	23°33'	136°48'	Undersea feature
5033	安芸川	あきがわ	Aki Gawa	33°30'	133°55'	River
5339	秋川	あきがわ	Aki Gawa	35°43'	139°20'	River
5132	安芸灘	あきなだ	Aki Nada	34°05'	132°21'	Sea Area
5033	安芸市	あきし	Aki Shi	33°30'	133°54'	Municipality
5237	秋葉山	あきはさん	Akiha San	34°59'	137°52'	Mountain
	晶子海山	あきこかいざん	Akiko Kaizan	21°49'	129°19'	Undersea feature
	秋の七草海山群	あきのななくさかいざんぐん	Aki-No-Nanakusa Kaizangun	28°31'	148°28'	Undersea feature
5132	安芸太田町	あきおおたちょう	Akiota Cho	34°35'	132°14'	Municipality
5339	あきる野市	あきるのし	Akiruno Shi	35°44'	139°18'	Municipality
5339	昭島市	あきしまし	Akishima Shi	35°42'	139°21'	Municipality
5940	秋田県	あきたけん	Akita Ken	39°43'	140°06'	Municipality
5940	秋田市	あきたし	Akita Shi	39°43'	140°06'	Municipality
5232	安芸高田市	あきたかたし	Aki-takata Shi	34°40'	132°42'	Municipality
5131	秋吉台	あきよしだい	Akiyoshi Dai	34°16'	131°19'	Extensive natural feature
6546	秋勇留島	あきゆりとう	Akiyuri To	43°22'	146°00'	Island
6041	安家川	あっかがわ	Akka Gawa	40°03'	141°51'	River
6041	安家森	あっかもり	Akka Mori	40°02'	141°32'	Mountain
6444	厚岸町	あっけしちょう	Akkeshi Cho	43°03'	144°51'	Municipality
6444	厚岸湖	あっけしこ	Akkeshi Ko	43°03'	144°53'	Lake
6444	厚岸湾	あっけしわん	Akkeshi Wan	42°59'	144°48'	Sea Area
5234	赤穂市	あこうし	Ako Shi	34°45'	134°23'	Municipality
4830	阿久根市	あくねし	Akune Shi	32°01'	130°12'	Municipality
4429	悪石島	あくせきじま	Akuseki Jima	29°28'	129°36'	Island
5433	海士町	あまちょう	Ama Cho	36°06'	133°06'	Municipality
5236	あま市	あまし	Ama Shi	35°12'	136°47'	Municipality
5536	海士崎	あまざき	Ama Zaki	37°09'	136°40'	Cape
5235	尼崎市	あまがさきし	Amagasaki Shi	34°44'	135°24'	Municipality
5338	雨ヶ岳	あまがたけ	Amagatake	35°26'	138°34'	Mountain
4128	天城町	あまぎちょう	Amagi Cho	27°49'	128°54'	Municipality
5239	天城山	あまぎさん	Amagi San	34°52'	139°01'	Mountain
5238	天城峠	あまぎとうげ	Amagi Toge	34°50'	138°56'	Pass
5236	雨乞岳	あまごいだけ	Amagoi Dake	35°01'	136°23'	Mountain
5537	雨飾山	あまかざりやま	Amakazari Yama	36°54'	137°58'	Mountain
4829	天草灘	あまくさなだ	Amakusa Nada	32°27'	129°53'	Sea Area
4830	天草市	あまくさし	Amakusa Shi	32°28'	130°12'	Municipality
4830	天草諸島	あまくさしょとう	Amakusa Shoto	32°23'	130°14'	Extensive natural feature
5440	雨巻山	あままきざん	Amamaki Zan	36°25'	140°09'	Mountain
4129	奄美群島	あまみぐんとう	Amami Gunto	27°41'	129°06'	Extensive natural feature
4229	奄美海盆	あまみかいぼん	Amami Kaibon	28°32'	129°05'	Undersea feature
	奄美海台	あまみかいだい	Amami Kaidai	28°07'	132°08'	Undersea feature
	奄美三角海盆	あまみさんかくかいぼん	Amami Sankaku Kaibon	27°34'	133°59'	Undersea feature
4229	奄美市	あまみし	Amami Shi	28°23'	129°30'	Municipality
6240	天の川	あまのかわ	Amanokawa	41°48'	140°06'	River
5440	阿見町	あみまち	Ami Machi	36°02'	140°13'	Municipality
4730	天降川	あもりがわ	Amori Gawa	31°43'	130°44'	River
5536	穴水町	あなみずまち	Anamizu Machi	37°14'	136°55'	Municipality
5237	阿南町	あなんちょう	Anan Cho	35°19'	137°49'	Municipality
5034	阿南市	あなんし	Anan Shi	33°55'	134°40'	Municipality
4530	安房川	あんぼうがわ	Anbo Gawa	30°19'	130°39'	River
5135	安堵町	あんどちょう	Ando Cho	34°36'	135°45'	Municipality
3942	姉島	あねじま	Ane Jima	26°33'	142°09'	Island
	安永海山	あんえいかいざん	An-ei Kaizan	29°16'	138°38'	Undersea feature
6040	阿仁川	あにがわ	Ani Gawa	40°13'	140°16'	River
4042	兄島	あにじま	Ani Jima	27°07'	142°13'	Island
5237	安城市	あんじょうし	Anjo Shi	34°58'	137°05'	Municipality
5438	安中市	あんなかし	Annaka Shi	36°20'	138°53'	Municipality
5336	安八町	あんぱちちょう	Anpachi Cho	35°20'	136°40'	Municipality
4839	青ヶ島	あおがしま	Aogashima	32°27'	139°46'	Island
4839	青ケ島村	あおがしまむら	Aogashima Mura	32°28'	139°46'	Municipality
5438	青木村	あおきむら	Aoki Mura	36°22'	138°08'	Municipality
6140	青森県	あおもりけん	Aomori Ken	40°49'	140°44'	Municipality
6140	青森市	あおもりし	Aomori Shi	40°49'	140°45'	Municipality
6140	青森湾	あおもりわん	Aomori Wan	40°54'	140°46'	Sea Area
6339	青苗	あおなえ	Aonae	42°04'	139°27'	Populated area
6339	青苗岬	あおなえみさき	Aonae Misaki	42°03'	139°27'	Cape
5131	青野山	あおのやま	Aono Yama	34°28'	131°48'	Mountain
5032	青島	あおしま	Aoshima	33°44'	132°29'	Island
4731	青島	あおしま	Aoshima	31°48'	131°29'	Island
5740	青麻山	あおそやま	Aoso Yama	38°05'	140°36'	Mountain
6343	アポイ岳	アポイだけ	Apoi Dake	42°06'	143°02'	Mountain
5438	荒船山	あらふねやま	Arafune Yama	36°13'	138°38'	Mountain
3623	新城島	あらぐすくじま	Aragusuku Jima	24°13'	123°56'	Island
	新城海山	あらぐすくかいざん	Aragusuku Kaizan	21°52'	124°24'	Undersea feature
5539	荒海山	あらかいやま	Arakai Yama	37°02'	139°39'	Mountain
5739	荒川	あらかわ	Arakawa	38°09'	139°25'	River
5339	荒川	あらかわ	Arakawa	35°39'	139°51'	River
5338	荒川岳	あらかわだけ	Arakawa Dake	35°30'	138°10'	Mountain
5339	荒川区	あらかわく	Arakawa Ku	35°44'	139°47'	Municipality
	荒木海山	あらきかいざん	Araki Kaizan	28°51'	132°32'	Undersea feature
4329	荒木崎	あらきざき	Araki Zaki	29°08'	129°13'	Cape
4229	荒木崎	あらきざき	Araki Zaki	28°17'	129°55'	Cape
5840	荒雄岳	あらおだけ	Arao Dake	38°50'	140°41'	Mountain
4930	荒尾市	あらおし	Arao Shi	32°59'	130°26'	Municipality
3927	荒崎	あらさき	Arasaki	26°05'	127°41'	Cape
6240	荒沢山	あらさわやま	Arasawa Yama	41°22'	140°55'	Mountain
5336	荒島岳	あらしまだけ	Arashima Dake	35°56'	136°36'	Mountain
4930	有明海	ありあけかい	Ariake Kai	32°58'	130°19'	Sea Area
5135	有田川	ありだがわ	Arida Gawa	34°05'	135°06'	River
5135	有田市	ありだし	Arida Shi	34°05'	135°08'	Municipality
5135	有田川町	ありだがわちょう	Aridagawa Cho	34°03'	135°13'	Municipality
4928	有福島	ありふくじま	Arifuku Jima	32°55'	128°57'	Island
5235	有馬	ありま	Arima	34°48'	135°15'	Populated area
4929	有田町	ありたちょう	Arita Cho	33°13'	129°51'	Municipality
5131	厚狭川	あさがわ	Asa Gawa	34°00'	131°09'	River
5232	阿佐山	あさやま	Asa Yama	34°47'	132°23'	Mountain
4830	あさぎり町	あさぎりちょう	Asagiri Cho	32°14'	130°54'	Municipality
5334	朝来市	あさごし	Asago Shi	35°20'	134°51'	Municipality
5236	朝日町	あさひちょう	Asahi Cho	35°02'	136°40'	Municipality
6542	旭岳	あさひだけ	Asahi Dake	43°40'	142°51'	Mountain
5739	朝日岳	あさひだけ	Asahi Dake	38°16'	139°55'	Mountain
5537	朝日岳	あさひだけ	Asahi Dake	36°50'	137°44'	Mountain
5133	旭川	あさひがわ	Asahi Gawa	34°36'	133°58'	River
5740	朝日町	あさひまち	Asahi Machi	38°18'	140°09'	Municipality
5537	朝日町	あさひまち	Asahi Machi	36°57'	137°34'	Municipality
5437	朝日村	あさひむら	Asahi Mura	36°07'	137°52'	Municipality
5340	旭市	あさひし	Asahi Shi	35°43'	140°39'	Municipality
6542	旭川市	あさひかわし	Asahikawa Shi	43°46'	142°22'	Municipality
5339	朝霞市	あさかし	Asaka Shi	35°48'	139°36'	Municipality
5540	浅川町	あさかわまち	Asakawa Machi	37°05'	140°25'	Municipality
5133	浅口市	あさくちし	Asakuchi Shi	34°32'	133°35'	Municipality
5030	朝倉市	あさくらし	Asakura Shi	33°25'	130°40'	Municipality
5339	浅草	あさくさ	Asakusa	35°43'	139°48'	Populated area
5639	浅草岳	あさくさだけ	Asakusa Dake	37°21'	139°14'	Mountain
5438	浅間山	あさまやま	Asama Yama	36°24'	138°31'	Mountain
5136	朝熊ヶ岳	あさまがたけ	Asamagatake	34°28'	136°47'	Mountain
5438	浅間隠山	あさまかくしやま	Asamakakushi Yama	36°27'	138°39'	Mountain
6140	浅虫	あさむし	Asamushi	40°53'	140°52'	Populated area
6040	浅瀬石川	あせいしがわ	Aseishi Gawa	40°39'	140°30'	River
5029	芦辺	あしべ	Ashibe	33°48'	129°45'	Populated area
6442	芦別岳	あしべつだけ	Ashibetsu Dake	43°14'	142°17'	Mountain
6542	芦別川	あしべつがわ	Ashibetsu Gawa	43°31'	142°12'	River
6542	芦別市	あしべつし	Ashibetsu Shi	43°31'	142°11'	Municipality
5133	芦田川	あしだがわ	Ashida Gawa	34°26'	133°24'	River
5439	足利市	あしかがし	Ashikaga Shi	36°20'	139°27'	Municipality
4830	芦北町	あしきたまち	Ashikita Machi	32°18'	130°30'	Municipality
5239	芦ノ湖	あしのこ	Ashinoko	35°13'	139°00'	Lake
5439	足尾山地	あしおさんち	Ashio Sanchi	36°32'	139°30'	Extensive natural feature
5238	愛鷹山	あしたかやま	Ashitaka Yama	35°14'	138°48'	Mountain
5030		あしやまち	Ashiya Machi	33°54'	130°40'	Municipality
5235		あしやし	Ashiya Shi	34°44'	135°18'	Municipality
4933	足摺岬	あしずりみさき	Ashizuri Misaki	32°43'	133°01'	Cape
6443	足寄町	あしょろちょう	Ashoro Cho	43°15'	143°33'	Municipality
6443	足寄川	あしょろがわ	Ashoro Gawa	43°14'	143°34'	River
4931	阿蘇山	あそさん	Aso San	32°53'	131°05'	Mountain
4931	阿蘇市	あそし	Aso Shi	32°57'	131°07'	Municipality
6240	厚沢部町	あっさぶちょう	Assabu Cho	41°55'	140°14'	Municipality
6240	厚沢部川	あっさぶがわ	Assabu Gawa	41°56'	140°08'	River
5135	明日香村	あすかむら	Asuka Mura	34°28'	135°49'	Municipality
5436	足羽川	あすわがわ	Asuwa Gawa	36°05'	136°11'	River
5239	愛宕山	あたごやま	Atago Yama	35°07'	139°59'	Mountain
5235	愛宕山	あたごやま	Atago Yama	35°04'	135°38'	Mountain
5239	熱海市	あたみし	Atami Shi	35°06'	139°04'	Municipality
5538	当間山	あてまやま	Atema Yama	37°01'	138°46'	Mountain
5132	阿戸	あと	Ato	34°23'	132°38'	Populated area
6646	安渡移矢岬	あといやみさき	Atoiya Misaki	44°27'	146°35'	Cape
6747	阿登佐岳	あとさだけ	Atosa Dake	44°48'	147°08'	Mountain
6544	アトサヌプリ	アトサヌプリ	Atosa Nupuri	43°37'	144°26'	Mountain
6342	厚別川	あつべつがわ	Atsubetsu Gawa	42°25'	142°13'	River
5339	厚木市	あつぎし	Atsugi Shi	35°27'	139°22'	Municipality
6441	厚真町	あつまちょう	Atsuma Cho	42°43'	141°53'	Municipality
6341	厚真川	あつまがわ	Atsuma Gawa	42°36'	141°49'	River
5137	渥美半島	あつみはんとう	Atsumi Hanto	34°38'	137°12'	Extensive natural feature
5134	阿波市	あわし	Awa Shi	34°06'	134°18'	Municipality
5739	粟島	あわしま	Awa Shima	38°28'	139°15'	Island
5133	粟島	あわしま	Awa Shima	34°16'	133°38'	Island
5741	鮑荒崎	あわびあらさき	Awabiara Saki	38°17'	141°35'	Cape
5639	粟ヶ岳	あわがたけ	Awagatake	37°33'	139°11'	Mountain
5134	淡路市	あわじし	Awaji Shi	34°26'	134°55'	Municipality
5134	淡路島	あわじしま	Awaji Shima	34°19'	134°49'	Island
5436	芦原	あわら	Awara	36°14'	136°12'	Populated area
5436	あわら市	あわらし	Awara Shi	36°13'	136°14'	Municipality
5739	粟島浦村	あわしまうらむら	Awashimaura Mura	38°28'	139°15'	Municipality
5436	粟津	あわづ	Awazu	36°20'	136°27'	Populated area
4831	綾町	あやちょう	Aya Cho	32°00'	131°15'	Municipality
5235	綾部市	あやべし	Ayabe Shi	35°18'	135°16'	Municipality
5133	綾川町	あやがわちょう	Ayagawa Cho	34°15'	133°55'	Municipality
5339	綾瀬市	あやせし	Ayase Shi	35°26'	139°26'	Municipality
5131	莇ヶ岳	あざみがだけ	Azamigadake	34°20'	131°47'	Mountain
5029	的山大島	あづちおおしま	Azuchi-oshima	33°29'	129°33'	Island
5438	四阿山	あずまやさん	Azumaya San	36°32'	138°25'	Mountain
5437	安曇野市	あづみのし	Azumino Shi	36°18'	137°54'	Municipality
5437	梓川	あずさがわ	Azusa Gawa	36°17'	137°57'	River
	馬琴海山	ばきんかいざん	Bakin Kaizan	22°33'	128°29'	Undersea feature
5639	磐梯町	ばんだいまち	Bandai Machi	37°34'	139°59'	Municipality
5640	磐梯山	ばんだいさん	Bandai San	37°36'	140°04'	Mountain
5439	坂東市	ばんどうし	Bando Shi	36°03'	139°53'	Municipality
	坂東深海盆	ばんどうしんかいぼん	Bando Shinkaibon	33°45'	142°05'	Undersea feature
4931	番匠川	ばんじょうがわ	Banjo Gawa	32°57'	131°55'	River
	芭蕉海山	ばしょうかいざん	Basho Kaizan	22°18'	128°43'	Undersea feature
	バテイラ海山	バテイラかいざん	Bateira Kaizan	22°24'	156°34'	Undersea feature
	米寿海山	べいじゅかいざん	Beiju Kaizan	24°30'	134°20'	Undersea feature
6444	別寒辺牛川	べかんべうしがわ	Bekanbeushi Gawa	43°04'	144°52'	River
6440	弁慶岬	べんけいみさき	Benkei Misaki	42°50'	140°11'	Cape
6841	弁天島	べんてんじま	Benten Jima	45°32'	141°55'	Island
4931	別府市	べっぷし	Beppu Shi	33°17'	131°29'	Municipality
4931	別府湾	べっぷわん	Beppu Wan	33°19'	131°37'	Sea Area
6646	ベルタルベ山	ベルタルベやま	Berutarube Yama	44°28'	146°56'	Mountain
5436	別山	べっさん	Bessan	36°06'	136°46'	Mountain
5033	別子山	べっしやま	Besshiyama	33°51'	133°22'	Populated area
5438	別所	べっしょ	Bessho	36°21'	138°09'	Populated area
6545	別海町	べつかいちょう	Betsukai Cho	43°24'	145°07'	Municipality
6748	別飛	べっとぶ	Bettobu	45°16'	148°02'	Populated area
4739	ベヨネース列岩	ベヨネースれつがん	Beyonesu Retsugan	31°53'	139°55'	Island
6541	美唄市	びばいし	Bibai Shi	43°20'	141°51'	Municipality
6542	美瑛町	びえいちょう	Biei Cho	43°35'	142°28'	Municipality
6542	美瑛岳	びえいだけ	Biei Dake	43°26'	142°42'	Mountain
6642	美深町	びふかちょう	Bifuka Cho	44°29'	142°21'	Municipality
6544	美幌町	びほろちょう	Bihoro Cho	43°49'	144°06'	Municipality
6544	美幌峠	びほろとうげ	Bihoro Toge	43°39'	144°15'	Pass
5133	備後灘	びんごなだ	Bingo Nada	34°17'	133°26'	Sea Area
6342	平取町	びらとりちょう	Biratori Cho	42°35'	142°08'	Municipality
4731	枇榔島	びろうじま	Biro Jima	31°26'	131°07'	Island
4928	美良島	びりょうじま	Biryo Jima	33°10'	128°54'	Island
5133	備讃瀬戸	びさんせと	Bisan Seto	34°25'	133°53'	Sea Area
5133	備讃諸島	びさんしょとう	Bisan Shoto	34°26'	133°59'	Extensive natural feature
4027	備瀬崎	びせざき	Bise Zaki	26°43'	127°53'	Cape
5236	琵琶湖	びわこ	Biwa Ko	35°15'	136°05'	Lake
5234	備前市	びぜんし	Bizen Shi	34°45'	134°11'	Municipality
4931	坊中	ぼうちゅう	Bochu	32°56'	131°05'	Populated area
4630	坊ノ岬	ぼうのみさき	Bono Misaki	31°15'	130°13'	Cape
	望星海山	ぼうせいかいざん	Bosei Kaizan	37°08'	145°20'	Undersea feature
	芒種海山	ぼうしゅかいざん	Boshu Kaizan	22°48'	141°27'	Undersea feature
5340	房総半島	ぼうそうはんとう	Boso Hanto	35°20'	140°08'	Extensive natural feature
	房総海底谷	ぼうそうかいていこく	Boso Kaiteikoku	34°36'	140°33'	Undersea feature
5339	武甲山	ぶこうざん	Buko Zan	35°57'	139°06'	Mountain
5235	武奈ヶ岳	ぶながだけ	Bunagadake	35°16'	135°54'	Mountain
	豊後海山	ぶんごかいざん	Bungo Kaizan	28°25'	134°15'	Undersea feature
	文豪海山地形区	ぶんごうかいざんちけいく	Bungo Kaizan Chikeiku	22°06'	128°41'	Undersea feature
4932	豊後水道	ぶんごすいどう	Bungo Suido	33°10'	132°07'	Sea Area
4931	豊後大野市	ぶんごおおのし	Bungoono Shi	32°59'	131°35'	Municipality
5031	豊後高田市	ぶんごたかだし	Bungotakada Shi	33°33'	131°27'	Municipality
	文化海山	ぶんかかいざん	Bunka Kaizan	27°56'	139°00'	Undersea feature
5339	文京区	ぶんきょうく	Bunkyo Ku	35°42'	139°45'	Municipality
	文政海山	ぶんせいかいざん	Bunsei Kaizan	27°25'	139°15'	Undersea feature
5337	舞台峠	ぶたいとうげ	Butai Toge	35°45'	137°20'	Pass
5031	豊前市	ぶぜんし	Buzen Shi	33°37'	131°08'	Municipality
5740	屛風岳	びょうぶだけ	Byobu Dake	38°06'	140°29'	Mountain
4929	屛風岳	びょうぶだけ	Byobu Dake	33°13'	129°24'	Mountain
	カストール平頂海山	カストールへいちょうかいざん	Castor Heichokaizan	25°48'	146°54'	Undersea feature
6646	爺爺岳	ちゃちゃだけ	Chacha Dake	44°21'	146°15'	Mountain
6444	茶路川	ちゃろがわ	Charo Gawa	42°57'	144°04'	River
3927	北谷町	ちゃたんちょう	Chatan Cho	26°19'	127°46'	Municipality
5539	茶臼岳	ちゃうすだけ	Chausu Dake	37°07'	139°58'	Mountain
5237	茶臼山	ちゃうすやま	Chausu Yama	35°14'	137°39'	Mountain
5340	千葉県	ちばけん	Chiba Ken	35°36'	140°07'	Municipality
5340	千葉市	ちばし	Chiba Shi	35°36'	140°06'	Municipality
5433	知夫村	ちぶむら	Chibu Mura	36°01'	133°02'	Municipality
5433	知夫里島	ちぶりしま	Chiburi Shima	36°01'	133°03'	Island
4042	父島	ちちじま	Chichi Jima	27°05'	142°13'	Island
5339	秩父市	ちちぶし	Chichibu Shi	35°59'	139°05'	Municipality
	父島海山	ちちじまかいざん	Chichijima Kaizan	27°47'	144°34'	Undersea feature
4042	父島列島	ちちじまれっとう	Chichijima Retto	27°07'	142°06'	Extensive natural feature
5339	茅ヶ崎市	ちがさきし	Chigasaki Shi	35°20'	139°24'	Municipality
5135	千早赤阪村	ちはやあかさかむら	Chihayaakasaka Mura	34°28'	135°37'	Municipality
6341	チキウ岬	チキウみさき	Chikiu Misaki	42°18'	141°00'	Cape
4930	筑後川	ちくごがわ	Chikugo Gawa	33°08'	130°21'	River
4930	筑後市	ちくごし	Chikugo Shi	33°13'	130°30'	Municipality
5438	筑北村	ちくほくむら	Chikuhoku Mura	36°24'	138°01'	Municipality
5031	築上町	ちくじょうまち	Chikujo Machi	33°39'	131°03'	Municipality
5538	千曲川	ちくまがわ	Chikuma Gawa	36°59'	138°35'	River
5438	千曲市	ちくまし	Chikuma Shi	36°32'	138°07'	Municipality
5234	千種川	ちくさがわ	Chikusa Gawa	34°44'	134°23'	River
5439	筑西市	ちくせいし	Chikusei Shi	36°18'	139°59'	Municipality
5030	筑紫野市	ちくしのし	Chikushino Shi	33°29'	130°32'	Municipality
	筑前海山	ちくぜんかいざん	Chikuzen Kaizan	29°11'	133°48'	Undersea feature
5030	筑前町	ちくぜんまち	Chikuzen Machi	33°27'	130°36'	Municipality
4128	知名町	ちなちょう	China Cho	27°20'	128°34'	Municipality
5438	茅野市	ちのし	Chino Shi	36°00'	138°10'	Municipality
6541	秩父別町	ちっぷべつちょう	Chippubetsu Cho	43°46'	141°57'	Municipality
4630	知林ヶ島	ちりんがしま	Chiringashima	31°17'	130°41'	Island
6847	散布山	ちりっぷやま	Chirippu Yama	45°20'	147°55'	Mountain
5237	知立市	ちりゅうし	Chiryu Shi	35°00'	137°03'	Municipality
	千島海盆	ちしまかいぼん	Chishima Kaibon	46°56'	148°06'	Undersea feature
	千島・カムチャツカ海溝	ちしま・カムチャツカかいこう	Chishima-Kamuchatsuka Kaiko	42°10'	147°02'	Undersea feature
5236	知多半島	ちたはんとう	Chita Hanto	34°49'	136°53'	Extensive natural feature
5236	知多市	ちたし	Chita Shi	35°00'	136°52'	Municipality
6441	千歳川	ちとせがわ	Chitose Gawa	43°07'	141°33'	River
6441	千歳市	ちとせし	Chitose Shi	42°49'	141°39'	Municipality
5339	千代田区	ちよだく	Chiyoda Ku	35°42'	139°45'	Municipality
5439	千代田町	ちよだまち	Chiyoda Machi	36°13'	139°27'	Municipality
5234	智頭町	ちづちょう	Chizu Cho	35°16'	134°14'	Municipality
5130	長府	ちょうふ	Chofu	34°00'	130°59'	Populated area
5339	調布市	ちょうふし	Chofu Shi	35°39'	139°32'	Municipality
	長寿海山群	ちょうじゅかいざんぐん	Choju Kaizangun	24°40'	134°00'	Undersea feature
5840	鳥海山	ちょうかいさん	Chokai San	39°06'	140°03'	Mountain
5340	長南町	ちょうなんまち	Chonan Machi	35°23'	140°14'	Municipality
5340	長生村	ちょうせいむら	Chosei Mura	35°25'	140°21'	Municipality
5340	銚子市	ちょうしし	Choshi Shi	35°44'	140°50'	Municipality
	超新星海山	ちょうしんせいかいざん	Choshinsei Kaizan	24°32'	136°16'	Undersea feature
	朝陽海山	ちょうようかいざん	Choyo Kaizan	27°03'	148°36'	Undersea feature
6542	忠別岳	ちゅうべつだけ	Chubetsu Dake	43°35'	142°54'	Mountain
6542	忠別川	ちゅうべつがわ	Chubetsu Gawa	43°46'	142°20'	River
5232	中国山地	ちゅうごくさんち	Chugoku Sanchi	34°56'	132°52'	Extensive natural feature
	中央海山	ちゅうおうかいざん	Chuo Kaizan	26°04'	144°01'	Undersea feature
5339	中央区	ちゅうおうく	Chuo Ku	35°40'	139°46'	Municipality
5338	中央市	ちゅうおうし	Chuo Shi	35°36'	138°31'	Municipality
6545	忠類川	ちゅうるいがわ	Churui Gawa	43°44'	145°05'	River
